iter	RMSE
0	4.403304883
1	4.221964718
2	4.067590088
3	3.920953951
4	3.743737575
5	3.608014886
6	3.492337994
7	3.360692069
8	3.226063392
9	3.101165394
10	2.99314462
11	2.877233319
12	2.788271712
13	2.684359256
14	2.607031838
15	2.534393823
16	2.453646641
17	2.378020131
18	2.300126845
19	2.239384138
20	2.183052568
21	2.126598706
22	2.072759556
23	2.016745893
24	1.96829418
25	1.921354275
26	1.873278939
27	1.834623815
28	1.786476817
29	1.747980775
30	1.698183276
31	1.659194431
32	1.617798347
33	1.580197846
34	1.541003903
35	1.509111306
36	1.477649501
37	1.447386283
38	1.420559223
39	1.393076807
40	1.357368453
41	1.336124038
42	1.313635186
43	1.291735101
44	1.268845059
45	1.242529124
46	1.218926869
47	1.195167592
48	1.181049183
49	1.157532884
50	1.140306659
51	1.118573972
52	1.10385184
53	1.086162757
54	1.061832491
55	1.038147274
56	1.023001952
57	1.011151234
58	0.9964187075
59	0.9807205174
60	0.9667073604
61	0.9546122966
62	0.9428399636
63	0.9282428254
64	0.9128088821
65	0.9023693597
66	0.8854296683
67	0.8690591465
68	0.857157718
69	0.8454686173
70	0.8347442153
71	0.8253723988
72	0.8143807207
73	0.7998785261
74	0.7885803576
75	0.7736436733
76	0.7594452047
77	0.7484636894
78	0.7399052037
79	0.7278204559
80	0.7139968085
81	0.7020231432
82	0.6929521509
83	0.6822068857
84	0.6752732253
85	0.6688146178
86	0.659783943
87	0.6516580645
88	0.6422725898
89	0.6336313612
90	0.6228151915
91	0.6122900471
92	0.6056498881
93	0.5986902793
94	0.5928415863
95	0.5851693096
96	0.5762985433
97	0.5705425116
98	0.5628022243
99	0.5547657786
100	0.5493999338
101	0.543161931
102	0.5322324727
103	0.5262458171
104	0.5192819375
105	0.5141694389
106	0.5071102494
107	0.5004711591
108	0.4963691146
109	0.4928636317
110	0.4878798496
111	0.4842258782
112	0.4779726097
113	0.4720236747
114	0.4676068482
115	0.4647689502
116	0.4592185584
117	0.4527613403
118	0.4485824151
119	0.4437849515
120	0.4398909307
121	0.436451606
122	0.434259265
123	0.4300337458
124	0.4242496578
125	0.417714374
126	0.4146219071
127	0.409613061
128	0.4063052511
129	0.4040943564
130	0.4015244665
131	0.3989190215
132	0.3948754728
133	0.3910307328
134	0.3872261604
135	0.3832027622
136	0.381179795
137	0.3767931642
138	0.3733594853
139	0.368975218
140	0.3668902121
141	0.3635394205
142	0.3607895213
143	0.3572964313
144	0.3537333318
145	0.3490279066
146	0.3462911184
147	0.3426801954
148	0.3384867123
149	0.3370867493
150	0.3333932329
151	0.330629603
152	0.3277207449
153	0.3231468868
154	0.3197277648
155	0.3166584128
156	0.3138439987
157	0.3112431681
158	0.3094106221
159	0.3066894228
160	0.3032914031
161	0.3013597781
162	0.2990601745
163	0.2970853225
164	0.2933227897
165	0.2913919954
166	0.2890103163
167	0.2869991752
168	0.2846805728
169	0.2823183241
170	0.2799255942
171	0.2761984437
172	0.2744686401
173	0.2720346716
174	0.2693743198
175	0.266944842
176	0.2641939906
177	0.2612484332
178	0.2591054948
179	0.2567419507
180	0.2544277726
181	0.2521089481
182	0.2504797118
183	0.248812478
184	0.2466774914
185	0.2441224207
186	0.241892883
187	0.2408948701
188	0.2388994202
189	0.235806906
190	0.2340287432
191	0.2325241189
192	0.2300801683
193	0.2287806265
194	0.2265069786
195	0.2251436692
196	0.2239512841
197	0.2218429348
198	0.2190848556
199	0.216489049
200	0.2143155928
201	0.2125561337
202	0.2105779085
203	0.2098736299
204	0.2086615205
205	0.2072454525
206	0.2059332965
207	0.203919652
208	0.2018050589
209	0.1997321231
210	0.198353899
211	0.1971090467
212	0.1956786929
213	0.1943331904
214	0.1930663137
215	0.1913427737
216	0.1896062041
217	0.1883835675
218	0.1873419446
219	0.1852405674
220	0.1827274899
221	0.1811764746
222	0.1798183832
223	0.1782161369
224	0.1760351755
225	0.1747401214
226	0.173594213
227	0.1721137873
228	0.1708958817
229	0.1691080252
230	0.1677949571
231	0.1665692571
232	0.1656319838
233	0.1644120163
234	0.1631166925
235	0.1617837509
236	0.1601058826
237	0.1584888513
238	0.1572313012
239	0.1553686692
240	0.1546288716
